chapter_id,chapter_name,url
第1章,算法设计与分析基础,/downloads/ppt/第1章_算法设计与分析基础.pptx
第2章,分治法,/downloads/ppt/第2章_分治法.pptx
第3章,减治法,/downloads/ppt/第3章_减治法.pptx
第4章,贪心法,/downloads/ppt/第4章_贪心法.pptx
第5章,动态规划法,/downloads/ppt/第5章_动态规划法.pptx
第6章,回溯法,/downloads/ppt/第6章_回溯法.pptx
第7章,分支限界法,/downloads/ppt/第7章_分支限界法.pptx
第8章,分类算法,/downloads/ppt/第8章_分类算法.pptx
第9章,聚类算法,/downloads/ppt/第9章_聚类算法.pptx
第10章,异常检测算法,/downloads/ppt/第10章_异常检测算法.pptx
第11章,频繁模式挖掘算法,/downloads/ppt/第11章_频繁模式挖掘算法.pptx
第12章,链接分析算法,/downloads/ppt/第12章_链接分析算法.pptx
第13章,概率推理算法,/downloads/ppt/第13章_概率推理算法.pptx
第14章,人工神经网络和深度学习概述,/downloads/ppt/第14章_人工神经网络和深度学习概述.pptx
第15章,降维算法,/downloads/ppt/第15章_降维算法.pptx
第16章,目标检测算法,/downloads/ppt/第16章_目标检测算法.pptx
第17章,问答系统算法,/downloads/ppt/第17章_问答系统算法.pptx
第18章,图分析算法,/downloads/ppt/第18章_图分析算法.pptx
